Date,Close,Volume,Open,High,Low
02-28-2020, 273.36, 106721200, 257.26, 278.41, 256.37
02-27-2020, 273.52, 80151380, 281.1, 286, 272.96
02-26-2020, 292.65, 49678430, 286.53, 297.88, 286.5
02-25-2020, 288.08, 57668360, 300.95, 302.53, 286.13
02-24-2020, 298.18, 55548830, 297.26, 304.18, 289.23
02-21-2020, 313.05, 32426420, 318.62, 320.45, 310.5
02-20-2020, 320.3, 25141490, 322.63, 324.65, 318.21
02-19-2020, 323.62, 23495990, 320, 324.57, 320
02-18-2020, 319, 38190550, 315.36, 319.75, 314.61
02-14-2020, 324.95, 20028450, 324.74, 325.98, 322.85
02-13-2020, 324.87, 23686890, 324.19, 326.22, 323.35
02-12-2020, 327.2, 28432570, 321.47, 327.22, 321.47
02-11-2020, 319.61, 23580780, 323.6, 323.9, 318.71
02-10-2020, 321.55, 27337220, 314.18, 321.55, 313.85
02-07-2020, 320.03, 29421010, 322.37, 323.4, 318
02-06-2020, 325.21, 26356390, 322.57, 325.22, 320.2648
02-05-2020, 321.45, 29706720, 323.52, 324.76, 318.95
02-04-2020, 318.85, 34154130, 315.31, 319.64, 313.6345
02-03-2020, 308.66, 43496400, 304.3, 313.49, 302.22
01-31-2020, 309.51, 49897100, 320.93, 322.68, 308.29
01-30-2020, 323.87, 31685810, 320.544, 324.09, 318.75
01-29-2020, 324.34, 54149930, 324.45, 327.85, 321.38
01-28-2020, 317.69, 40558490, 312.6, 318.4, 312.19
01-27-2020, 308.95, 40485010, 310.06, 311.77, 304.88
01-24-2020, 318.31, 36634380, 320.25, 323.33, 317.5188
01-23-2020, 319.23, 26117990, 317.92, 319.56, 315.65
01-22-2020, 317.7, 25458120, 318.58, 319.99, 317.31
01-21-2020, 316.57, 27710810, 317.19, 319.02, 316
01-17-2020, 318.73, 34454120, 316.27, 318.74, 315
01-16-2020, 315.24, 27207250, 313.59, 315.7, 312.09
01-15-2020, 311.34, 30480880, 311.85, 315.5, 309.55
01-14-2020, 312.68, 40653460, 316.7, 317.57, 312.17
01-13-2020, 316.96, 30521720, 311.64, 317.07, 311.15
01-10-2020, 310.33, 35217270, 310.6, 312.67, 308.25
01-09-2020, 309.63, 42621540, 307.235, 310.43, 306.2
01-08-2020, 303.19, 33090950, 297.16, 304.4399, 297.156
01-07-2020, 298.39, 27877660, 299.84, 300.9, 297.48
01-06-2020, 299.8, 29644640, 293.79, 299.96, 292.75
01-03-2020, 297.43, 36633880, 297.15, 300.58, 296.5
